name,feature_types,detail_text,see_also,source_page
"CARPENTIER, ALEJO",cantero central,"Ley N° 644-2001, BO N° 1.303. Alejo Carpentier (1904-1980), escritor, novelista y diplomático cubano; autor de La música en Cuba, El reino de este mundo, Los pasos perdidos, El siglo de las luces, El recurso del método, La consagración de la primavera y El arpa y la sombra.",,103
"CARRICA, IRMA",cantero central,"Ley Nº 1.403-2004, BO Nº 2.021. Irma Leonor Laciar de Carrica (1926-1977), enfermera, docente y gremialista; se desempeña como profesional y representante gremial en el Hospital Alejandro Posadas y en el Hospital Rivadavia; docente en la Oficina Panamericana de la Salud y en la Universidad de Buenos Aires; miembro de la Asociación de Trabajadores del Estado. Es secuestrada el 18 de abril de 1977. Permanece desaparecida.",,105
"CASA DEL ÁNGEL, LA",cantero central,"Ley N° 647-2001, BO N° 1.303. La Casa del Ángel: película dirigida por Leopoldo Torre Nilson; con la actuación de Elsa Daniel y Lautaro Murúa, en 1957.",,106
"CASTELAO, ALFONSO R.",plazoleta,"Ordenanza N° 16.537-1960, BM N° 11.406. Alfonso Daniel Rodríguez Castelao (1886-1950), escritor, dibujante y político español; diputado en las Cortes Constituyentes en 1931 y 1936, exiliado en la Argentina al finalizar la Guerra Civil Española; autor de Cousas, Cousas da vida, Coarenta homes por des réas y Os dóus de sempre.",,107
"CATALINAS, VILLA DE LAS",plazoleta,"Ordenanza N° 42.219-1987, BM N° 18.148. Villa de las Catalinas: primera denominación que tuvo el barrio Villa Urquiza; fundado el 2 de octubre de 1887 por don Francisco Seeber.",,110
"CAVAGNA MARTÍNEZ, ILDEFONSO FÉLIX",plaza,"Ordenanza Nº 47.222- 1993, BM N° 19.763. Ildefonso Félix Cavagna Martínez (1905-1971), jurisconsulto; Escribano Mayor de la provincia de Buenos Aires; en 1946 elabora las bases que dan origen al IAPI (Instituto Argentino de Promoción del Intercambio); presidente del Banco Nación de 1946 a 1949; ministro de Relaciones Exteriores en 1955; autor de Función de la tierra rural.",,110
"CAZÓN, HIGINIO",cantero central,"Ley Nº 2.049-2006, BO Nº 2.514. Higinio D. Cazón (1866-1914), poeta y payador; autor de Alegrías y Pesares, donde aparece su composición “Bajo el ombú copioso”. El 30 de junio de 1896 protagoniza una célebre payada con Gabino Ezeiza en el escenario del teatro Doria. Su nombre perdura en la letra del tango Café de los Angelitos (“bar de Gabino y Cazón”) de Cátulo Castillo.",,111
"CENTEYA, JULIÁN",plazoleta,"Ordenanza N° 39.896-1984, BM Nº 17.352. Julián Centeya: seudónimo de Amleto Enrique Vergiat (1910-1974), escritor y poeta porteño de origen italiano; autor de La musa mistonga, El misterio del tango y de los poemas de los discos Antología lunfarda y El hombre gris de Buenos Aires.",,111
"CHERTKOFF, FENIA",espacio verde,"Fenia Chertcoff por Ordenanza N° 52.180-1997, BO N° 422, y por Ley N° 702-2001, BO N° 1.362, su nombre actual. Fenia Chertkoff de Repetto (1869-1928), feminista, educadora y escritora de origen ruso; impulsa el desarrollo de bibliotecas; funda el centro Socialista Femenino para la defensa de los derechos civiles y sociales de las mujeres en 1902 y crea la Asociación de Bibliotecas y recreos infantiles en 1913; esposa del dirigente socialista Nicolás Repetto.",,116
"CINE, PASEO DEL",canteros centrales,"Ley N° 647-2001, BO N° 1.303. Cine: término popular con el que se conoce al medio de comunicación social que se basa en la representación de imágenes en movimiento, mediante la técnica del cinematógrafo. Homenaje general a los creadores y a las creaciones de la cinematografía argentina. Cabe destacar que por Ordenanza Nº 49.599-1995, BM Nº 20.154 se rindió otro homenaje a esta actividad artística, cuando se declaró “calle del Cine al tramo de la calle Lavalle que va desde Carlos Pellegrini hasta la calle Florida” debido a la cantidad de salas que allí funcionaron durante muchos años. No obstante, como se señala expresamente, esta disposición es sólo una declaración que no alteraba ni altera la nomenclatura de la calle Lavalle.",,118
